version,name,aa,ppg,srm,description
fermentable,2-Row Malt - 1.7°L (Rahr),,1.038,1.7,"A fantastic and economical all-purpose base malt. It is made from Harrington barley grown on the western prairies and malted in Minnesota. It is high in enzymes, well modified, clean and smooth. Easily converts with a single step infusion mash. =concat(“‘“, D6)"
fermentable,2-Row Malt - 1.75°L (Briess),,1.038,1.75,"Probably the most commonly used base malt in all-grain or partial-mash brewing. Yields a slightly higher extraction rate than 6-Row. 2-Row is well modified, smooth, and high in enzymes. A single step infusion mash will easily convert 2-Row, but a protein rest is recommended to improve clarity."
fermentable,2-Row Malt - 2.0°L (MaltEurope),,1.038,2,An excellent plain American 2-row malt grown in and around Montana and used by many US pro brewers. Good for single infusion mashes; works well with adjuncts.
fermentable,2-Row Brewers Malt - 1.8°L (Briess),,1.038,1.8,"An American 2-row malt of exceptional quality.  Very consistent malt with a clean, sweet malty flavor."
fermentable,2-Row Organic – 1.8°L (Briess),,1.037,1.8,"Base malt made from organically-grown 2-row barley, certified by Oregon Tilth. Mild, malty flavor. Suitable for all beer styles. "
fermentable,6-Row Malt 1.7°L (Rahr),,1.035,1.7,"Optimized for adjunct brewing—its high enzyme content easily converts high percentages of unmalted corn, rice, oats, etc. Six-row is also useful in lautering mashes with huskless grains due to it high husk content."
fermentable,Acidulated Malt - 1.8°L (Weyermann),,1.027,1.8,pH 3.4-3.6. Include 1 to 10% to lower mash and wort pH. Good for brewing pilsner with soft water. Recommended by Weyermann for pils and hefeweizen mashes.
fermentable,Amber Malt – 7°L (Crisp),,1.035,7,"Made from ale malt. Warm, pleasant, biscuit flavor with coffee undertones. This is a versatile malt for the all grain or partial mash brewer. Try a 1/2 lb. In a nut brown or red ale. "
fermentable,Aromatic Malt - 19°L (Castle),,1.036,19,A mildly kilned malt that has a strong malt aroma and rich color. Use 1-10%.
fermentable,Ashburne Mild – 5.3°L (Briess),,1.037,5.3,"A high-kilned base malt for elevated sweet, malty flavor and aroma and rich, golden color. Ideal for mild, brown, and amber ales. "
fermentable,Beechwood Smoked Malt - 2.3°L (Weyermann),,1.037,2.3,"Also known as Rauchmalt, Weyermann's famous beechwood-smoked malt can make up to 100% of the grist for classic Bamberger Rauchbier. Use smaller percentages to add smoke character to bock, helles, hefeweizen, porters, Scottish ales, brown ales, etc."
fermentable,Biscuit Malt – 24.5°L (Crisp),,1.036,24.5,"Toasted malt that contributes a warm, earthy flavor, with an aroma described as warm bread or biscuit flavor and will lend a granet-brown color"
fermentable,Black Malt - 500°L (Briess),,1.025,500,"As implied by the name, this malt will give a sharp roasted flavor and deep red to black color. Used in porters, stouts, and dark ales and lagers. Midwest suggests using this malt in moderation."
fermentable,Black Malt - 550°L (Simpsons),,1.025,550,"Made by roasting white malt at a higher temperature than that used to produce Chocolate Malts. Sharp flavor and black color, with a smoother flavor than roasted barley. Small percentages add reddish color to Scottish ales, red ales, and bitter. Higher percentages give pronounced roasted flavor and aroma and black color. Ideal for sweet stout and robust porter."
fermentable,"Black Malt, Debittered – 550°L (Castle)",,1.025,550,A unique malt for adding deep color without the astringency of other highly roasted malts. Great for Schwarzbier and oatmeal or sweet stout. 
fermentable,BlackPrinz - 500°L (Briess),,1.025,500,"Intensely roasted from hulless barley, Blackprinz® Malt is an amazingly smooth and mellow flavored black malt without bitter, astringent, dry flavors or aftertaste. Despite its delicate and clean flavor Blackprinz® Malt won't disappoint the eye, delivering exceptionally deep color to dark beers or a slight to intense boost of color to other beer styles. The hints of toasted malty flavor that come through at slightly higher usage rates makes Blackprinz® Malt a truly unique member of the black malt category.

Usage Rates:
•1-2% Minor color adjustment with little to no flavor impact in lighter colored lagers and ales.
•2-5% Adds color with subtle, smooth flavor in Black IPAs, Dark Mild Ales, Brown Ales, Dark Wheat Beers and Schwarzbier.
•5-10% Use in larger quantities for color plus hints of toasted malty flavor."
fermentable,Brown Malt – 65°L (Crisp),,1.032,65,Made from green malt. Imparts a dark roasted flavor and bitterness to beer. Works great in older styles of English ales such as brown ales and mild stouts and porters. 
fermentable,CaraAmber 27°L (Weyermann),,1.034,27,"Intesifies the aroma and color of dark beers, particularly German altbiers, stouts, bocks and porters. "
fermentable,CaraAroma - 130°L (Weyermann),,1.033,130,"Imparts fuller body and improved malt aroma to dark beers, particularly German altbiers, stouts, bocks and porters."
fermentable,Carafa I - 337°L (Weyermann),,1.032,337.5,"Dehusked Carafa I intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,Carafa II - 430°L (Weyermann),,1.032,430,"Dehusked Carafa II intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,Carafa III - 525°L (Weyermann),,1.032,525,"Dehusked Carafa III intensifies the aroma and color of dark beers while contributing very low astringency —very smooth. Use 1-5%. Ideal for bock, doppelbock, altbier, and especially Schwarzbier. Small amounts can be used for color adjustment in amber beers. Also nice in stouts and porters."
fermentable,CaraFoam - 1.8°L (Weyermann),,1.036,1.8,"German dextrin malt with lovely, delicate malt character. Improves head retention and body. Recommended for pilsners and pale lagers."
fermentable,CaraHell - 11°L (Weyermann),,1.035,11,"Imparts a full, round malt flavor and gold color. Very versatile - use up to 15% in pale ale, Oktoberfest, Maibock, and hefeweizen."
fermentable,CaraMalt - 34°L (Simpsons),,1.034,34,"Made from green malt. Imparts a light flavor, and slight red hue. Great for dark lagers and ales. Will contribute dextrins and add to foam stability. This grain may be steeped or mashed."
fermentable,Caramel 10°L – 10°L (Briess),,1.035,10,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden color, and candylike sweetness and mild caramel flavor. "
fermentable,Caramel 20°L – 20°L (Briess),,1.035,20,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden color, and candylike sweetness and mild caramel flavor. "
fermentable,Caramel 40°L – 40°L (Briess),,1.034,40,"Briess caramel malts contribute body, foam stability, color, and flavor. Use 3-15% 40L for golden to light-red color, and sweet caramel/toffee flavor. "
fermentable,Caramel 60°L – 60°L (Briess),,1.034,60,"Contributes body, foam stability, color, and flavor. Use 3-15% for golden to light red color, and sweet, pronounced caramel flavor. "
fermentable,Caramel 80°L – 80°L (Briess),,1.034,80,"Contributes body, foam stability, color, and flavor. Use 3-15% for red to deep red color, and pronounced caramel, burnt sugar, and raisin flavor. "
fermentable,Caramel 90°L – 90°L (Briess),,1.033,90,"Contributes body, foam stability, color, and flavor. Use 3-15% for red to deep red color and pronounced caramel, burnt sugar, and raisin flavor. Use in amber or red ales, bock, stout, and porter. "
fermentable,Caramel 120°L – 120°L (Briess),,1.033,120,"Briess caramel malts contribute body, foam stability, color, and flavor. Use 3-15% in amber or dark beers for deep red color and pronounced caramel, burnt sugar, raisin, and prune flavor. "
fermentable,Caramel Pils – 6°L (Crisp),,1.036,6,"A very pale caramel malt. Contributes a subtle caramel flavor. The malting process creates a 'floury' endosperm that will yield fermentable sugars when mashed with base malts. Steep Caramel Pils in quantities under a pound to add a light caramel flavor, but mash it with other grains for the full effect."
fermentable,CaraMunich - 47°L (Castle),,1.034,47,"An excellent all-purpose caramel malt. Round, sweet character with toasty overtones and deep gold to copper color, depending on usage. Used extensively in amber and dark Belgian ales. We like it for amber and dark lagers as well. "
fermentable,CaraMunich I - 34°L (Weyermann),,1.034,34,"Deep gold to pale copper color and sweet malty flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers."
