name,ppg,srm,description
2-Row Malt - 1.7°L (Rahr),1.038,1.7,"A fantastic and economical all-purpose base malt. It is made from Harrington barley grown on the western prairies and malted in Minnesota. It is high in enzymes, well modified, clean and smooth. Easily converts with a single step infusion mash."
2-Row Malt - 1.75°L (Briess),1.038,1.75,"Probably the most commonly used base malt in all-grain or partial-mash brewing. Yields a slightly higher extraction rate than 6-Row. 2-Row is well modified, smooth, and high in enzymes. A single step infusion mash will easily convert 2-Row, but a protein rest is recommended to improve clarity."
2-Row Malt - 2.0°L (MaltEurope),1.038,2,"An excellent plain American 2-row malt grown in and around Montana and used by many US pro brewers. Good for single infusion mashes; works well with adjuncts."
2-Row Brewers Malt - 1.8°L (Briess),1.038,1.8,"An American 2-row malt of exceptional quality.  Very consistent malt with a clean, sweet malty flavor."
2-Row Organic – 1.8°L (Briess),1.037,1.8,"Base malt made from organically-grown 2-row barley, certified by Oregon Tilth. Mild, malty flavor. Suitable for all beer styles."
6-Row Malt 1.7°L (Rahr),1.035,1.7,"Optimized for adjunct brewing—its high enzyme content easily converts high percentages of unmalted corn, rice, oats, etc. Six-row is also useful in lautering mashes with huskless grains due to it high husk content."
Acidulated Malt - 1.8°L (Weyermann),1.027,1.8,"pH 3.4-3.6. Include 1 to 10% to lower mash and wort pH. Good for brewing pilsner with soft water. Recommended by Weyermann for pils and hefeweizen mashes."
Amber Malt – 7°L (Crisp),1.035,7,"Made from ale malt. Warm, pleasant, biscuit flavor with coffee undertones. This is a versatile malt for the all grain or partial mash brewer. Try a 1/2 lb. In a nut brown or red ale. "
Aromatic Malt - 19°L (Castle),1.036,19,"A mildly kilned malt that has a strong malt aroma and rich color. Use 1-10%."
Ashburne Mild – 5.3°L (Briess),1.037,5.3,"A high-kilned base malt for elevated sweet, malty flavor and aroma and rich, golden color. Ideal for mild, brown, and amber ales."
Beechwood Smoked Malt - 2.3°L (Weyermann),1.037,2.3,"Also known as Rauchmalt, Weyermann's famous beechwood-smoked malt can make up to 100% of the grist for classic Bamberger Rauchbier. Use smaller percentages to add smoke character to bock, helles, hefeweizen, porters, Scottish ales, brown ales, etc."
Biscuit Malt – 24.5°L (Crisp),1.036,24.5,"Toasted malt that contributes a warm, earthy flavor, with an aroma described as warm bread or biscuit flavor and will lend a granet-brown color"
Black Malt - 500°L (Briess),1.025,500,"As implied by the name, this malt will give a sharp roasted flavor and deep red to black color. Used in porters, stouts, and dark ales and lagers. Midwest suggests using this malt in moderation."
Black Malt - 550°L (Simpsons),1.025,550,"Made by roasting white malt at a higher temperature than that used to produce Chocolate Malts. Sharp flavor and black color, with a smoother flavor than roasted barley. Small percentages add reddish color to Scottish ales, red ales, and bitter. Higher percentages give pronounced roasted flavor and aroma and black color. Ideal for sweet stout and robust porter."
"Black Malt, Debittered – 550°L (Castle)",1.025,550,"A unique malt for adding deep color without the astringency of other highly roasted malts. Great for Schwarzbier and oatmeal or sweet stout."
BlackPrinz - 500°L (Briess),1.025,500,"Intensely roasted from hulless barley, Blackprinz® Malt is an amazingly smooth and mellow flavored black malt without bitter, astringent, dry flavors or aftertaste. Despite its delicate and clean flavor Blackprinz® Malt won't disappoint the eye, delivering exceptionally deep color to dark beers or a slight to intense boost of color to other beer styles. The hints of toasted malty flavor that come through at slightly higher usage rates makes Blackprinz® Malt a truly unique member of the black malt category."
