version,name,aa,ppg,srm,attenuation,temperature_range,description,alcohol_tolerance,flocculation
hops,Admiral,14.75,,,,,Known for its bittering potential.,,
hops,Aged Debittered Hops,0,,,,,Used in brewing Lambics,,
hops,Ahtanum,5,,,,,"Floral, citrus, sharp, and piney.",,
hops,Amarillo,8.5,,,,,"A flowery, citrus-like aroma with medium bittering value that is gaining acceptance as a substitute for Cascade due to its hardy nature.",,
hops,Apollo,17,,,,,Strong grapefruit,,
hops,Aurora,7,,,,,European aroma,,
hops,Belma,12,,,,,"very orange, slight grapefruit, tropical (but not mango/guava, more like pineapple), strawberry, and melon",,
hops,Bramling Cross,6,,,,,"Quite mild, fruity currant aroma.",,
hops,Bravo,16,,,,,Pleasant fruity and floral aroma,,
hops,Brewer's Gold,8.5,,,,,Bittering hop with neutral aroma character.,,
hops,Bullion,7.75,,,,,A rich hop primarily used for bittering. Intense blackcurrant aroma.,,
hops,Cascade (Aregentina),4,,,,,Different than US grown Cascades with more of a spicy flavor and lemony aroma.,,
hops,Cascade (New Zealand),7,,,,,"Similar to US Cascade, has floral, citrus grapefruit character.",,
hops,Cascade (U.S.),5.75,,,,,"Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",,
hops,Calypso,15,,,,,"Dual purpose, pleasently complex, fruity aroma, hints of pear and apple, notes of earthy tea.",,
hops,Celeia,4.5,,,,,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well.",,
hops,Centennial,9.75,,,,,Medium with floral and citrus tones.,,
hops,Challenger,7.5,,,,,"Mild to moderate, quite spicy.",,
hops,Chelan,13.25,,,,,Similar to galena,,
hops,Chinook,12,,,,,"Mild to medium-heavy, spicy, piney, and grapefruity.",,
hops,Citra,12.5,,,,,"Fruity, passionfruit",,
hops,Cluster,7.5,,,,,Medium and quite spicy.,,
hops,Columbus,13.5,,,,,"Earthy, spicy, pungent, with a light citrus character.",,
hops,Comet,11,,,,,"bittering hop, wild american aroma",,
hops,Crystal,3.25,,,,,"Mild and pleasant, spicy and flowery.",,
hops,Delta,6,,,,,"Slightly spicy, hint of citrus",,
hops,East Kent Goldings,5,,,,,"Gentle, fragrant, and pleasant.",,
hops,El Dorado,14,,,,,"Tropical, pear, candy, watermelon, stone fruit and fresh-cut grass",,
hops,Eroica,11,,,,,Strong but pleasant aroma.,,
hops,Falconer's Flight,11,,,,,"Tropical Fruit, Citrus, floral, lemon and Grapefruit character (the best of the best)",,
hops,Falconer's Flight 7Cs,9,,,,,"Strong Fruit, Citrus, Spicy, earthy (the best of the best)",,
hops,First Gold,7,,,,,A little like Golding family; spicy.,,
